Date,EXUSEU_Avg,US_GDP,US_IR,US_CPI,US_M3,US_BOP,US_DM3Index,US_UC,EU_GDP,EU_OR_Avg,EU_CPI,EU_M3,EU_BOP,EU_DM3Index,EU_UC,OIL_Avg
Jan-2011,1.3371,93.4768,0.15,92.9144323,177.3222396,-48123,159.7904566,0.190352301,97.6475733,0.25,93.69,185.57,-6648.633356,186.7,4.0,96.52
Feb-2011,1.3656,93.0617,0.13,93.37262728,178.6044455,-44753,160.753056,0.190518175,97.79264733,0.25,94.08,185.74,-7726.021202,186.9,3.9,103.72
Mar-2011,1.4020,94.0244,0.1,94.28311049,179.7379316,-44312,162.0728363,0.191105047,97.89696738,0.25,95.35,185.93,-4071.161229,186.8,3.9,114.64
Apr-2011,1.4460,93.7011,0.06,94.89023994,180.9739137,-42685,163.6903452,0.204456898,97.96291254,0.40,95.89,186.05,-1933.036756,187.4,4.0,123.26
May-2011,1.4335,93.8490,0.04,95.33662142,182.3927811,-47725,165.873977,0.204855019,97.99712622,0.50,95.90,186.46,-4469.738371,187.3,3.9,114.99
Jun-2011,1.4403,94.0844,0.04,95.23451904,183.9161542,-49882,164.515325,0.205517462,98.00511605,0.50,95.89,186.70,201.5451341,187.7,3.8,113.83
Jul-2011,1.4275,94.5881,0.04,95.31890118,187.246272,-46070,165.5273891,0.192206425,97.98796524,0.65,95.34,186.93,-6754.959988,188.0,3.8,116.97
Aug-2011,1.4333,95.1605,0.02,95.58175152,191.096909,-45052,165.9780551,0.191631681,97.94432713,0.75,95.52,188.32,-2462.331832,188.8,3.8,110.22
Sep-2011,1.3747,95.0855,0.01,95.72688879,191.5209615,-43477,166.0234795,0.191691937,97.87406445,0.75,96.22,188.86,-1485.929531,189.5,4.1,112.83
Oct-2011,1.3732,95.6902,0.02,95.5294346,192.2002492,-45509,165.9811942,0.247696586,97.7836227,0.75,96.55,188.24,-1714.016737,189.0,4.2,109.55
Nov-2011,1.3558,95.7307,0.01,95.44884966,193.2191808,-47460,166.5763614,0.247544588,97.68170266,0.57,96.64,188.62,-296.8403592,189.2,4.3,110.77
Dec-2011,1.3155,96.2047,0.01,95.21342351,194.1778207,-49473,166.0993934,0.248232024,97.57630295,0.35,96.96,189.00,1850.370975,189.9,4.5,107.87
Jan-2012,1.2910,96.7772,0.03,95.6323808,195.6589895,-50126,167.183275,0.228695098,97.47256009,0.25,96.18,189.27,3241.218611,189.8,4.0,110.69
Feb-2012,1.3238,97.0510,0.09,96.05344764,196.8226215,-42780,168.193508,0.228327847,97.37502651,0.25,96.66,189.85,-151.1582407,189.9,3.6,119.33
Mar-2012,1.3208,96.5714,0.08,96.78293118,197.7812613,-49749,168.4235396,0.227198539,97.28306996,0.25,97.91,191.18,3767.245145,191.5,3.4,125.45
Apr-2012,1.3160,97.3139,0.08,97.07531527,198.8423972,-46842,169.0448851,0.228489268,97.19630653,0.25,98.36,190.59,5469.367401,191.1,3.3,119.42
May-2012,1.2806,97.4669,0.09,96.96139939,199.7407452,-45106,168.7341447,0.228448186,97.11299439,0.25,98.23,191.60,5980.956842,192.3,3.3,110.34
Jun-2012,1.2541,97.4577,0.09,96.8192155,201.0189316,-42941,170.1763944,0.228309712,97.02988835,0.25,98.15,192.12,17168.34636,193.4,3.3,95.16
Jul-2012,1.2278,97.6786,0.1,96.66142091,202.1684955,-42406,171.2815666,0.221473535,96.94195885,0.08,97.64,193.12,12267.8291,194.3,2.9,102.62
Aug-2012,1.2406,97.2842,0.1,97.19935701,203.372322,-44030,171.6135123,0.2217736,96.84471108,0.00,98.02,192.95,9272.071031,194.3,2.8,113.36
Sep-2012,1.2885,97.2295,0.11,97.63308117,204.9399092,-38794,173.2221411,0.220967481,96.7369837,0.00,98.73,193.34,10202.41253,195.3,2.7,112.86
Oct-2012,1.2974,97.5344,0.1,97.59510921,206.2140761,-41467,173.4439735,0.183130715,96.62454428,0.00,98.96,194.60,7367.505195,196.3,2.5,111.71
Nov-2012,1.2837,97.9837,0.09,97.13269512,207.4882431,-45332,174.8166121,0.184501177,96.51769781,0.00,98.76,194.63,12304.42008,196.5,2.6,109.06
Dec-2012,1.3119,98.2122,0.07,96.87111051,210.1330439,-36334,177.4369848,0.184642915,96.42940559,0.00,99.11,194.81,13665.92045,197.0,2.4,109.49
Jan-2013,1.3304,98.1664,0.07,97.15758785,210.6415049,-40135,177.3411608,0.195798989,96.37323752,0.00,98.09,194.39,11531.92675,196.2,2.5,112.96
Feb-2013,1.3347,98.6458,0.1,97.95331137,210.8806624,-41004,176.6479109,0.195530749,96.36014753,0.00,98.45,194.72,15431.56727,197.0,2.6,116.05
Mar-2013,1.2953,99.0597,0.09,98.20941114,212.2131115,-34314,176.4863412,0.195097518,96.39593709,0.00,99.61,195.13,24584.26716,197.9,2.6,108.47
Apr-2013,1.3025,98.9927,0.06,98.10730876,212.9044576,-38487,177.8987823,0.20184838,96.47145858,0.00,99.52,195.51,16145.31229,198.9,2.6,102.25
May-2013,1.2983,99.0726,0.04,98.28197977,213.704329,-41701,177.9856699,0.203537193,96.57217519,0.00,99.63,195.75,17783.78882,199.2,2.6,102.56
Jun-2013,1.3197,99.2065,0.05,98.51782784,214.7594357,-34426,178.5051577,0.203858496,96.6842851,0.00,99.73,195.44,20402.6558,199.4,2.9,102.92
Jul-2013,1.3088,98.9204,0.04,98.55664362,215.691949,-36356,178.8998666,0.163973006,96.79924411,0.00,99.20,195.69,15266.54776,199.3,2.8,107.93
Aug-2013,1.3314,99.4996,0.04,98.67520051,216.7872503,-36617,179.0170613,0.164127722,96.91269859,0.00,99.32,196.46,15719.50946,200.5,2.9,111.28
Sep-2013,1.3364,100.0568,0.02,98.78996021,217.8262792,-39917,180.3770221,0.164163552,97.02337273,0.00,99.80,196.44,14551.09384,200.5,2.9,111.60
Oct-2013,1.3646,99.9168,0.05,98.53554808,220.1073194,-36285,180.8824079,0.239210427,97.13220955,0.00,99.68,196.56,18946.14337,200.8,2.9,109.08
Nov-2013,1.3491,100.1762,0.07,98.3342967,220.213835,-33983,180.5929043,0.238611303,97.24074162,0.00,99.60,196.72,22903.52516,201.3,2.8,107.79
Dec-2013,1.3708,100.3658,0.07,98.32585848,221.5442743,-33636,181.7607015,0.238983517,97.34974414,0.00,99.95,195.77,16238.2,200.3,2.9,110.76
Jan-2014,1.3618,100.0380,0.04,98.69165503,222.6757506,-37433,181.6270686,0.175417629,97.45818791,0.00,98.84,196.48,20264.42241,200.8,2.8,108.12
Feb-2014,1.3665,100.7918,0.05,99.05660775,224.5387676,-40119,183.0158858,0.175406683,97.56387838,0.00,99.14,196.87,21485.33211,201.4,2.6,108.90
Mar-2014,1.3828,101.7782,0.05,99.69453668,225.3064834,-42940,183.6502513,0.175089262,97.66736897,0.00,100.07,196.88,16456.38801,201.5,2.5,107.48
Apr-2014,1.3810,101.8337,0.03,100.0232051,226.3575706,-43735,183.8580284,0.175412601,97.77163891,0.00,100.22,196.72,18734.82176,201.6,2.4,107.76
May-2014,1.3739,102.2325,0.03,100.3725471,227.6940391,-39575,184.868532,0.175392001,97.88104416,0.00,100.11,197.81,16509.40672,203.0,2.2,109.54
Jun-2014,1.3595,102.5722,0.04,100.5594535,228.7149805,-38895,185.1939804,0.174733754,97.99945532,-0.07,100.22,198.50,10215.10854,203.8,2.3,111.80
Jul-2014,1.3533,102.8479,0.03,100.5202158,229.8605249,-38935,185.2394434,0.190495135,98.12813155,-0.10,99.57,199.12,19110.75731,204.5,2.2,106.77
Aug-2014,1.3315,102.6491,0.03,100.3522954,230.4453555,-36935,185.3406945,0.190703287,98.26700662,-0.10,99.68,200.04,18568.59767,205.9,2.1,101.61
Sep-2014,1.2889,102.9858,0.02,100.4278174,231.1226335,-41672,185.4109979,0.190888257,98.41541029,-0.17,100.12,201.01,23468.06294,207.0,2.0,97.09
